StudentID,Gender,Age,Study_Hours,Attendance,Previous_Marks,Assignment_Score,Sleep_Hours,Extracurricular,Result
107,Female,20,6.8,92.0,46.0,77.0,,No,Pass
108,Female,20,9.6,40.0,67.0,90.0,7.8,Yes,Pass
37,Male,17,2.5,88.0,35.0,67.0,6.9,Yes,Fail
33,Female,21,7.2,75.0,56.0,84.0,7.4,No,Fail
103,Male,19,4.6,91.0,65.0,76.0,8.4,Yes,Pass
99,Male,17,6.5,41.0,78.0,69.0,5.6,No,Pass
76,Female,21,4.2,84.0,47.0,69.0,7.7,Yes,Pass
15,Male,19,8.2,42.0,76.0,86.0,3.4,No,Pass
119,Male,17,6.9,94.0,62.0,88.0,5.7,Yes,Pass
94,Female,17,1.6,,39.0,73.0,7.3,No,Fail
141,Male,20,,42.0,48.0,69.0,5.9,Yes,Pass
106,Male,20,1.1,44.0,,53.0,9.0,No,Fail
82,Male,19,6.7,64.0,74.0,95.0,8.1,No,Fail
49,Female,19,6.5,83.0,57.0,65.0,7.1,No,Fail
96,Male,19,7.5,68.0,75.0,72.0,6.3,No,Pass
98,Female,21,6.2,59.0,76.0,75.0,7.5,Yes,Pass
43,Male,22,10.2,79.0,91.0,84.0,5.5,No,Pass
42,Male,17,4.7,68.0,57.0,78.0,5.3,Yes,Pass
113,Female,19,7.5,44.0,76.0,72.0,8.1,No,Fail
62,Male,20,,40.0,70.0,56.0,5.3,Yes,Fail
128,Male,19,4.3,96.0,61.0,62.0,5.1,No,Fail
30,Female,18,6.5,42.0,72.0,,6.8,No,Pass
67,Male,19,4.3,,40.0,71.0,7.8,No,Pass
47,Female,22,3.0,50.0,57.0,,6.2,Yes,Fail
16,Female,22,3.8,88.0,62.0,76.0,6.0,Yes,Pass
72,Male,21,8.4,88.0,,86.0,6.9,No,Pass
78,Male,17,3.0,90.0,69.0,97.0,6.8,No,Pass
144,Female,22,7.0,80.0,64.0,82.0,6.2,Yes,Pass
35,Male,18,4.2,83.0,67.0,67.0,5.2,No,Pass
2,Female,17,3.2,85.0,43.0,70.0,6.2,No,Fail
65,Female,19,7.0,52.0,95.0,68.0,7.5,Yes,Pass
73,Female,18,3.7,66.0,46.0,75.0,5.0,Yes,Pass
117,Female,20,5.7,64.0,62.0,71.0,6.0,No,Fail
114,Male,18,1.3,63.0,43.0,76.0,7.0,Yes,Fail
31,Male,18,5.8,52.0,,60.0,7.7,No,Pass
136,Female,20,,70.0,64.0,97.0,7.8,No,Fail
25,Male,18,2.8,55.0,37.0,70.0,9.3,No,Fail
6,Female,20,8.2,62.0,84.0,88.0,5.3,No,Pass
112,Male,19,2.0,42.0,39.0,53.0,9.1,No,Fail
150,Female,20,6.1,42.0,52.0,88.0,5.6,No,Fail
17,Male,17,2.3,58.0,42.0,59.0,4.1,Yes,Pass
134,Male,18,1.7,59.0,58.0,71.0,,Yes,Fail
75,Male,18,6.9,83.0,62.0,87.0,6.9,Yes,Pass
1,Female,21,5.6,45.0,54.0,67.0,6.8,Yes,Fail
131,Female,18,3.1,89.0,47.0,72.0,6.9,No,Pass
53,Male,17,1.4,82.0,44.0,66.0,5.9,No,Fail
100,Female,17,4.6,42.0,37.0,66.0,7.3,No,Fail
145,Female,22,4.3,72.0,42.0,61.0,5.2,Yes,Fail
5,Female,18,2.7,98.0,60.0,69.0,6.7,Yes,Pass
146,Female,18,6.3,51.0,68.0,80.0,9.0,Yes,Pass
51,Male,17,,84.0,55.0,73.0,7.3,No,Fail
148,Female,19,3.6,78.0,38.0,72.0,6.3,No,Fail
64,Male,20,3.7,86.0,50.0,65.0,9.3,Yes,Fail
59,Male,17,7.0,45.0,71.0,61.0,6.5,No,Pass
105,Female,19,3.9,61.0,44.0,,6.7,No,Fail
50,Male,19,8.0,63.0,59.0,83.0,7.8,No,Pass
4,Male,21,5.4,94.0,63.0,78.0,7.0,No,Fail
120,Female,19,8.8,60.0,89.0,85.0,6.5,No,Pass
20,Male,18,4.1,71.0,61.0,72.0,6.1,Yes,Fail
130,Male,20,0.7,97.0,33.0,73.0,7.4,Yes,Fail
19,Male,19,,95.0,46.0,82.0,6.1,No,Pass
13,Male,19,4.4,82.0,74.0,54.0,8.6,No,Pass
121,Female,17,3.0,41.0,55.0,57.0,7.9,Yes,Fail
125,Male,17,0.8,50.0,50.0,61.0,4.9,No,Fail
63,Female,22,6.8,70.0,,99.0,5.2,No,Pass
129,Male,21,2.1,73.0,46.0,68.0,7.1,Yes,Fail
92,Male,20,3.7,40.0,64.0,71.0,5.8,No,Fail
118,Male,18,7.3,65.0,58.0,79.0,6.6,No,Fail
41,Female,19,0.5,78.0,38.0,49.0,4.8,Yes,Fail
60,Female,21,6.0,82.0,61.0,91.0,5.0,Yes,Pass
23,Male,18,2.3,88.0,43.0,65.0,8.3,No,Pass
66,Female,20,3.2,90.0,59.0,69.0,5.7,No,Fail
126,Male,18,5.4,,76.0,57.0,7.5,Yes,Fail
7,Male,20,2.9,45.0,52.0,72.0,5.8,No,Fail
57,Male,22,3.8,66.0,54.0,72.0,7.7,Yes,Fail
25,Male,18,2.8,55.0,37.0,70.0,9.3,No,Fail
93,Male,18,2.9,91.0,45.0,61.0,,Yes,Fail
127,Female,18,7.8,56.0,59.0,93.0,7.1,No,Pass
